Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;43,500.50;43,776.25;275.75;36,890.25
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;42,598.75;43,080.50;481.75;35,554.75
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;41,463.75;42,145.25;681.50;34,033.50
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;40,279.50;41,030.75;751.25;32,734.75
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;40,264.75;41,736.75;1,472.00;32,515.75
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;40,017.75;41,672.50;1,654.75;32,291.50
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;38,959.25;40,315.50;1,356.25;31,450.75
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;39,464.25;40,237.75;773.50;32,059.00
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;40,177.75;41,762.75;1,585.00;32,479.25
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;42,374.00;43,972.00;1,598.00;31,965.50
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;44,553.00;47,164.00;2,611.00;30,618.25
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;46,662.25;49,523.00;2,860.75;29,808.50
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;47,989.00;50,498.50;2,509.50;29,577.00
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;47,723.25;49,473.25;1,750.00;29,886.00
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;46,133.25;46,858.75;725.50;31,840.50
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;46,275.25;46,595.00;319.75;36,575.50
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;49,069.75;49,329.75;260.00;40,542.75
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;53,047.75;55,915.50;2,867.75;42,596.75
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;53,873.00;57,143.75;3,270.75;41,542.50
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;52,635.75;56,065.00;3,429.25;39,159.00
Jan 1, 2020 8:00 PM;Jan 1, 2020 9:00 PM;50,517.00;52,645.50;2,128.50;36,633.25
Jan 1, 2020 9:00 PM;Jan 1, 2020 10:00 PM;49,120.50;49,651.25;530.75;35,090.50
Jan 1, 2020 10:00 PM;Jan 1, 2020 11:00 PM;48,205.00;48,353.50;148.50;35,439.00
Jan 1, 2020 11:00 PM;Jan 2, 2020 12:00 AM;45,410.75;45,501.25;90.50;33,059.75
Jan 2, 2020 12:00 AM;Jan 2, 2020 1:00 AM;43,971.75;44,970.00;998.25;31,620.75
Jan 2, 2020 1:00 AM;Jan 2, 2020 2:00 AM;42,537.00;44,009.00;1,472.00;30,544.75
Jan 2, 2020 2:00 AM;Jan 2, 2020 3:00 AM;41,919.25;43,988.00;2,068.75;29,954.50
Jan 2, 2020 3:00 AM;Jan 2, 2020 4:00 AM;41,968.50;44,702.00;2,733.50;30,395.50
Jan 2, 2020 4:00 AM;Jan 2, 2020 5:00 AM;43,068.00;45,687.25;2,619.25;31,516.00
Jan 2, 2020 5:00 AM;Jan 2, 2020 6:00 AM;45,395.50;46,643.75;1,248.25;33,324.75
Jan 2, 2020 6:00 AM;Jan 2, 2020 7:00 AM;49,812.50;51,539.50;1,727.00;36,608.75
Jan 2, 2020 7:00 AM;Jan 2, 2020 8:00 AM;54,798.25;58,321.50;3,523.25;40,704.75
Jan 2, 2020 8:00 AM;Jan 2, 2020 9:00 AM;58,182.25;61,522.75;3,340.50;43,469.00
Jan 2, 2020 9:00 AM;Jan 2, 2020 10:00 AM;60,124.25;62,479.75;2,355.50;42,157.00
Jan 2, 2020 10:00 AM;Jan 2, 2020 11:00 AM;61,127.50;61,220.00;92.50;40,244.00
Jan 2, 2020 11:00 AM;Jan 2, 2020 12:00 PM;61,947.50;62,094.25;146.75;39,557.75
Jan 2, 2020 12:00 PM;Jan 2, 2020 1:00 PM;62,184.25;62,570.25;386.00;40,100.50
Jan 2, 2020 1:00 PM;Jan 2, 2020 2:00 PM;61,336.00;61,750.50;414.50;40,638.75
