Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;45,471.50;38,967.00
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;43,471.50;36,574.50
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;42,555.50;35,076.00
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;42,448.25;34,495.75
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;42,567.75;34,502.75
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;42,209.00;34,440.50
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;40,675.25;33,218.75
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;41,920.50;34,675.25
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;44,545.50;36,989.50
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;47,357.00;37,372.25
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;49,263.75;36,251.75
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;51,059.00;35,869.00
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;51,057.25;34,964.75
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;49,680.25;34,162.00
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;48,677.50;35,178.75
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;48,705.75;38,036.00
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;49,848.00;40,264.50
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;53,010.25;42,296.25
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;54,399.50;42,502.50
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;53,892.50;41,233.00
Jan 1, 2020 8:00 PM;Jan 1, 2020 9:00 PM;52,231.25;39,413.00
Jan 1, 2020 9:00 PM;Jan 1, 2020 10:00 PM;50,896.50;38,159.00
Jan 1, 2020 10:00 PM;Jan 1, 2020 11:00 PM;50,285.75;37,616.75
Jan 1, 2020 11:00 PM;Jan 2, 2020 12:00 AM;47,592.00;34,809.75
Jan 2, 2020 12:00 AM;Jan 2, 2020 1:00 AM;45,959.75;34,686.25
Jan 2, 2020 1:00 AM;Jan 2, 2020 2:00 AM;44,370.50;32,986.75
Jan 2, 2020 2:00 AM;Jan 2, 2020 3:00 AM;44,016.25;32,236.25
Jan 2, 2020 3:00 AM;Jan 2, 2020 4:00 AM;44,305.00;32,231.00
Jan 2, 2020 4:00 AM;Jan 2, 2020 5:00 AM;45,326.00;32,893.25
Jan 2, 2020 5:00 AM;Jan 2, 2020 6:00 AM;48,351.25;35,408.75
Jan 2, 2020 6:00 AM;Jan 2, 2020 7:00 AM;54,601.00;40,934.50
Jan 2, 2020 7:00 AM;Jan 2, 2020 8:00 AM;59,519.00;45,086.00
Jan 2, 2020 8:00 AM;Jan 2, 2020 9:00 AM;61,620.00;46,129.75
Jan 2, 2020 9:00 AM;Jan 2, 2020 10:00 AM;62,165.25;43,706.00
Jan 2, 2020 10:00 AM;Jan 2, 2020 11:00 AM;62,672.00;41,372.00
Jan 2, 2020 11:00 AM;Jan 2, 2020 12:00 PM;63,003.25;40,052.00
Jan 2, 2020 12:00 PM;Jan 2, 2020 1:00 PM;62,728.00;39,377.50
Jan 2, 2020 1:00 PM;Jan 2, 2020 2:00 PM;62,014.00;39,463.50
Jan 2, 2020 2:00 PM;Jan 2, 2020 3:00 PM;61,359.25;40,454.25
Jan 2, 2020 3:00 PM;Jan 2, 2020 4:00 PM;61,067.00;41,948.50
Jan 2, 2020 4:00 PM;Jan 2, 2020 5:00 PM;61,625.25;42,461.00
Jan 2, 2020 5:00 PM;Jan 2, 2020 6:00 PM;63,771.75;42,668.50
Jan 2, 2020 6:00 PM;Jan 2, 2020 7:00 PM;63,687.25;40,653.25
Jan 2, 2020 7:00 PM;Jan 2, 2020 8:00 PM;62,363.50;37,799.75
Jan 2, 2020 8:00 PM;Jan 2, 2020 9:00 PM;59,278.50;33,444.25
Jan 2, 2020 9:00 PM;Jan 2, 2020 10:00 PM;56,526.25;29,556.75
Jan 2, 2020 10:00 PM;Jan 2, 2020 11:00 PM;54,357.00;26,599.50
Jan 2, 2020 11:00 PM;Jan 3, 2020 12:00 AM;51,197.25;22,566.00
Jan 3, 2020 12:00 AM;Jan 3, 2020 1:00 AM;49,743.75;21,421.00
Jan 3, 2020 1:00 AM;Jan 3, 2020 2:00 AM;47,964.25;18,616.50
Jan 3, 2020 2:00 AM;Jan 3, 2020 3:00 AM;47,151.00;16,920.75
Jan 3, 2020 3:00 AM;Jan 3, 2020 4:00 AM;47,248.00;16,231.75
Jan 3, 2020 4:00 AM;Jan 3, 2020 5:00 AM;47,940.50;16,225.25
Jan 3, 2020 5:00 AM;Jan 3, 2020 6:00 AM;50,198.25;17,936.75
Jan 3, 2020 6:00 AM;Jan 3, 2020 7:00 AM;55,410.25;22,424.25
Jan 3, 2020 7:00 AM;Jan 3, 2020 8:00 AM;60,981.50;27,526.75
Jan 3, 2020 8:00 AM;Jan 3, 2020 9:00 AM;63,788.00;29,860.00
Jan 3, 2020 9:00 AM;Jan 3, 2020 10:00 AM;63,987.00;28,736.75
Jan 3, 2020 10:00 AM;Jan 3, 2020 11:00 AM;64,471.50;28,014.25
Jan 3, 2020 11:00 AM;Jan 3, 2020 12:00 PM;64,675.75;27,870.50
Jan 3, 2020 12:00 PM;Jan 3, 2020 1:00 PM;64,243.00;28,047.25
Jan 3, 2020 1:00 PM;Jan 3, 2020 2:00 PM;62,840.75;27,873.75
Jan 3, 2020 2:00 PM;Jan 3, 2020 3:00 PM;61,574.25;28,044.50
Jan 3, 2020 3:00 PM;Jan 3, 2020 4:00 PM;61,101.00;28,565.25
Jan 3, 2020 4:00 PM;Jan 3, 2020 5:00 PM;61,740.00;29,691.25
Jan 3, 2020 5:00 PM;Jan 3, 2020 6:00 PM;63,734.25;32,139.25
Jan 3, 2020 6:00 PM;Jan 3, 2020 7:00 PM;63,523.75;32,391.25
Jan 3, 2020 7:00 PM;Jan 3, 2020 8:00 PM;62,015.00;31,465.25
Jan 3, 2020 8:00 PM;Jan 3, 2020 9:00 PM;58,660.75;28,761.00
Jan 3, 2020 9:00 PM;Jan 3, 2020 10:00 PM;55,847.50;26,191.50
Jan 3, 2020 10:00 PM;Jan 3, 2020 11:00 PM;54,251.50;24,510.00
Jan 3, 2020 11:00 PM;Jan 4, 2020 12:00 AM;51,316.25;21,201.00
Jan 4, 2020 12:00 AM;Jan 4, 2020 1:00 AM;50,781.75;21,241.50
Jan 4, 2020 1:00 AM;Jan 4, 2020 2:00 AM;49,027.75;19,768.75
Jan 4, 2020 2:00 AM;Jan 4, 2020 3:00 AM;48,086.00;18,665.75
Jan 4, 2020 3:00 AM;Jan 4, 2020 4:00 AM;47,805.25;18,032.75
Jan 4, 2020 4:00 AM;Jan 4, 2020 5:00 AM;48,130.50;17,641.75
Jan 4, 2020 5:00 AM;Jan 4, 2020 6:00 AM;48,134.75;16,518.75
Jan 4, 2020 6:00 AM;Jan 4, 2020 7:00 AM;48,373.75;15,305.25
Jan 4, 2020 7:00 AM;Jan 4, 2020 8:00 AM;50,440.75;16,058.75
Jan 4, 2020 8:00 AM;Jan 4, 2020 9:00 AM;53,693.75;18,031.25
Jan 4, 2020 9:00 AM;Jan 4, 2020 10:00 AM;55,936.00;18,218.50
Jan 4, 2020 10:00 AM;Jan 4, 2020 11:00 AM;56,892.00;16,815.25
Jan 4, 2020 11:00 AM;Jan 4, 2020 12:00 PM;57,753.50;16,112.25
Jan 4, 2020 12:00 PM;Jan 4, 2020 1:00 PM;57,847.75;15,708.25
Jan 4, 2020 1:00 PM;Jan 4, 2020 2:00 PM;56,547.25;14,851.00
